time,trialNumber,phaseNumber
8.996656,3,3
9.007597,3,3
9.019102,3,3
9.029793,3,3
9.040838,3,3
9.051891,3,3
9.062826,3,3
9.074045,3,3
9.085123,3,3
9.096199,3,3
9.10733,3,3
9.11865,3,3
9.129393,3,3
9.140602,3,3
9.15206,3,3
9.162741,3,3
9.17391,3,3
9.185173,3,3
9.196056,3,3
9.207241,3,3
9.218933,3,3
9.229382,3,3
9.24044,3,3
9.251598,3,3
9.262777,3,3
9.27392,3,3
9.285191,3,3
9.296183,3,3
9.307405,3,3
9.318628,3,3
9.329763,3,3
9.340727,3,3
9.351814,3,3
9.363045,3,3
9.374079,3,3
9.385065,3,3
9.396086,3,3
9.407831,3,3
9.418276,3,3
9.429461,3,3
9.440441,3,3
9.451616,3,3
9.462553,3,3
9.473791,3,3
9.484856,3,3
9.496117,3,3
9.507156,3,3
9.518652,3,3
9.529205,3,3
9.54035,3,3
9.551579,3,3
9.562632,3,3
9.573835,3,3
9.58485,3,3
9.595995,3,3
9.607378,3,3
9.618235,3,3
9.629128,3,3
9.640587,3,3
9.651627,3,3
9.662535,3,3
9.673761,3,3
9.685003,3,3
9.695929,3,3
9.707066,3,3
9.718639,3,3
9.729061,3,3
9.740473,3,3
9.751492,3,3
9.762791,3,3
9.773605,3,3
9.78479,3,3
9.795712,3,3
9.806849,3,3
9.817995,3,3
9.828997,3,3
9.840511,3,3
9.851507,3,3
9.862707,3,3
9.873741,3,3
9.884838,3,3
9.895872,3,3
9.907085,3,3
9.918205,3,3
9.929094,3,3
9.940304,3,3
9.951271,3,3
9.962469,3,3
9.973652,3,3
9.984734,3,3
9.995897,3,3
10.00696,3,3
10.0184,3,3
10.02921,3,3
10.04029,3,3
10.05153,3,3
10.0626,3,3
10.07359,3,3
10.08471,3,3
10.09592,3,3
10.10693,3,3
10.11806,3,3
10.12904,3,3
10.14058,3,3
10.15125,3,3
10.16267,3,3
10.17432,3,3
10.18479,3,3
10.1957,3,3
10.2068,3,3
10.21822,3,3
10.22899,3,3
10.24016,3,3
10.25124,3,3
10.2628,3,3
10.27337,3,3
10.28471,3,3
10.29567,3,3
10.30666,3,3
10.318,3,3
10.32891,3,3
10.34007,3,3
10.35126,3,3
10.3622,3,3
10.37346,3,3
10.38446,3,3
10.39643,3,3
10.40677,3,3
10.418,3,3
10.42939,3,3
10.43993,3,3
10.45158,3,3
10.46218,3,3
10.47335,3,3
10.4847,3,3
10.49578,3,3
10.50655,3,3
10.51796,3,3
10.52894,3,3
10.53995,3,3
10.5513,3,3
10.56257,3,3
10.57345,3,3
10.58505,3,3
10.59565,3,3
10.60668,3,3
10.6181,3,3
10.62874,3,3
10.63992,3,3
10.65101,3,3
10.66244,3,3
10.67336,3,3
10.6847,3,3
10.69591,3,3
10.70684,3,3
10.71839,3,3
10.72926,3,3
10.73991,3,3
10.75113,3,3
10.7621,3,3
10.77322,3,3
10.78438,3,3
10.79548,3,3
10.80638,3,3
10.81755,3,3
10.82867,3,3
10.8399,3,3
10.85099,3,3
10.86234,3,3
10.87323,3,3
10.88468,3,3
10.89524,3,3
10.90635,3,3
10.91761,3,3
10.92886,3,3
10.94,3,3
10.95137,3,3
10.96211,3,3
10.9733,3,3
10.98446,3,3
10.9953,3,3
11.00654,3,3
11.01778,3,3
11.02868,3,3
11.0398,3,3
11.05098,3,3
11.0619,3,3
11.07321,3,3
11.08491,3,3
11.09534,3,3
11.10652,3,3
11.1176,3,3
11.12884,3,3
11.1399,3,3
11.15104,3,3
11.16208,3,3
11.17313,3,3
11.18435,3,3
11.1955,3,3
11.20644,3,3
11.21804,3,3
11.2288,3,3
11.23981,3,3
11.25096,3,3
11.26204,3,3
11.2731,3,3
11.28438,3,3
11.29529,3,3
11.30619,3,3
